requestNum,experiment,test,jobFile,operation,targetTable,region,PK,jobTimestamp,jobSecond,jobTimestampMs,jobElapsed,latency,velocity,httpStatusCode,attempts,ConsumedCapacity
21,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-21,1744342054,2,107,1106,58,,200,1,1
22,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-22,1744342054,2,165,1164,52,,200,1,1
23,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-23,1744342054,2,217,1216,56,,200,1,1
24,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-24,1744342054,2,273,1272,57,,200,1,1
25,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-25,1744342054,2,330,1329,47,,200,1,1
26,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-26,1744342054,2,377,1376,59,,200,1,1
27,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-27,1744342054,2,436,1435,57,,200,1,1
28,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-28,1744342054,2,493,1492,56,,200,1,1
29,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-29,1744342054,2,549,1548,59,,200,1,1
30,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-30,1744342054,2,608,1607,64,,200,1,1
31,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-31,1744342054,2,672,1671,58,,200,1,1
32,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-32,1744342054,2,730,1729,50,,200,1,1
33,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-33,1744342054,2,780,1779,57,,200,1,1
34,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-34,1744342054,2,837,1836,49,,200,1,1
35,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-35,1744342054,2,886,1885,51,,200,1,1
36,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-36,1744342054,2,937,1936,60,,200,1,1
37,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-37,1744342054,2,997,1996,57,19,200,1,1
38,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-38,1744342055,3,54,2053,56,,200,1,1
39,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-39,1744342055,3,110,2109,48,,200,1,1
40,E1744342049,MRSC strong reads, us-east-1,load-smallitems.js,get,MRSC,us-east-1,C-40,1744342055,3,158,2157,63,,200,1,1
